Date,Open,High,Low,Close,Volume
19-May-14,70.56,71.12,70.28,71.02,3378905
16-May-14,70.00,71.04,69.81,70.94,4647413
15-May-14,70.26,70.33,69.28,69.85,4562343
14-May-14,71.18,71.20,70.03,70.17,4293011
13-May-14,70.97,71.34,70.90,71.16,2901458
12-May-14,70.64,71.24,70.40,71.15,3613602
9-May-14,69.70,70.31,69.52,70.29,3311568
8-May-14,69.60,70.50,69.34,69.58,3765672
7-May-14,69.78,70.00,69.14,69.74,5480998
6-May-14,70.73,70.83,69.33,69.58,5463393
5-May-14,70.50,71.06,70.18,70.92,2743299
2-May-14,71.25,71.52,70.57,70.60,4153245
1-May-14,70.75,71.20,70.32,71.12,3959597
30-Apr-14,70.62,70.76,70.12,70.62,3641539
29-Apr-14,71.18,71.45,70.26,70.64,4915082
28-Apr-14,71.89,72.02,69.80,70.93,5366778
25-Apr-14,72.00,72.25,70.94,71.45,9061065
24-Apr-14,71.52,72.04,70.11,71.09,7788508
23-Apr-14,71.46,71.47,70.22,70.39,4440774
22-Apr-14,70.53,71.28,70.33,71.15,4431345
21-Apr-14,70.31,70.60,69.85,70.48,3049221
17-Apr-14,70.57,71.39,70.14,70.15,4622983
16-Apr-14,69.65,70.88,69.16,70.79,5639322
15-Apr-14,69.96,70.10,67.93,68.89,7730880
14-Apr-14,69.63,70.04,68.70,69.31,6088240
11-Apr-14,69.79,70.13,68.68,68.73,8184422
10-Apr-14,72.74,72.74,70.17,70.22,6687735
9-Apr-14,71.63,72.68,71.20,72.48,4527793
8-Apr-14,70.64,71.70,70.50,71.48,5339545
7-Apr-14,71.20,71.38,70.05,70.43,5544862
4-Apr-14,73.55,73.89,71.32,71.55,5854273
3-Apr-14,73.86,74.34,72.82,73.09,3582727
2-Apr-14,74.35,74.37,73.24,73.67,4152217
1-Apr-14,73.64,74.98,73.41,74.01,4370890
31-Mar-14,73.90,74.40,73.17,73.38,3860877
28-Mar-14,73.29,74.06,73.05,73.70,3291375
27-Mar-14,73.07,73.96,72.69,73.40,6337829
26-Mar-14,74.93,74.99,73.52,73.54,4185559
25-Mar-14,76.44,76.51,74.29,74.61,5284079
24-Mar-14,76.90,77.11,75.21,75.77,5009362
21-Mar-14,78.21,78.64,76.62,76.71,9018452
20-Mar-14,76.29,77.13,75.60,76.96,6925738
19-Mar-14,75.00,77.33,74.82,75.91,12491570
18-Mar-14,74.35,74.84,74.05,74.60,2998760
17-Mar-14,74.81,74.99,73.82,74.18,5509947
14-Mar-14,74.09,74.89,74.02,74.27,4481301
13-Mar-14,75.84,76.42,74.03,74.43,5690391
12-Mar-14,74.55,75.66,74.50,75.63,5225431
11-Mar-14,73.99,75.41,73.85,75.03,9184375
10-Mar-14,73.25,73.64,72.79,73.56,4324388
7-Mar-14,72.99,73.10,72.21,73.07,4204686
6-Mar-14,71.83,73.34,71.77,72.69,6890524
5-Mar-14,71.99,72.09,70.88,71.30,4891705
4-Mar-14,71.43,71.96,71.05,71.66,6127552
3-Mar-14,70.01,70.73,70.00,70.47,6152499
28-Feb-14,71.54,71.93,70.50,70.96,11232753
27-Feb-14,71.62,72.24,71.43,72.19,5649224
26-Feb-14,70.80,72.22,69.95,71.78,9578268
25-Feb-14,72.50,72.66,70.55,70.55,9320623
24-Feb-14,72.66,72.88,72.02,72.56,5976635
21-Feb-14,73.78,73.86,72.52,72.56,5649129
20-Feb-14,73.40,73.71,72.48,73.55,4276516
19-Feb-14,73.84,74.28,73.23,73.32,4901050
18-Feb-14,74.99,75.00,73.94,73.97,5483873
14-Feb-14,74.35,75.09,74.01,75.03,4133219
13-Feb-14,73.56,74.69,73.39,74.69,4238628
12-Feb-14,74.49,75.06,73.70,73.91,4986526
11-Feb-14,74.87,75.19,73.79,74.50,8082926
10-Feb-14,74.31,75.18,74.31,74.80,6474195
7-Feb-14,73.61,74.49,72.69,74.04,7376385
6-Feb-14,70.66,72.80,70.56,72.36,6909857
5-Feb-14,70.09,70.74,69.61,70.49,5484164
4-Feb-14,70.00,71.20,69.37,70.65,10533118
