Date,Open,High,Low,Close,Volume
20-Jun-14,170.32,171.08,169.42,169.84,4688187
19-Jun-14,170.00,170.16,168.93,169.73,2306899
18-Jun-14,167.89,170.10,167.29,169.86,2876387
17-Jun-14,165.64,168.75,165.45,168.22,2450024
16-Jun-14,165.52,166.53,164.45,165.85,1756421
13-Jun-14,166.17,167.07,165.42,165.89,1761060
12-Jun-14,165.76,166.65,165.02,165.96,2309882
11-Jun-14,165.09,166.16,164.69,165.43,2004076
10-Jun-14,165.86,167.26,165.48,166.36,1692482
9-Jun-14,166.04,166.86,165.64,166.00,2377485
6-Jun-14,162.90,166.26,162.90,166.19,3478086
5-Jun-14,162.72,163.43,161.56,162.58,1861574
4-Jun-14,161.44,162.73,160.86,162.39,2098405
3-Jun-14,159.85,161.93,159.28,161.80,2408640
2-Jun-14,159.78,160.20,157.91,160.03,2162512
30-May-14,160.42,160.64,159.16,159.81,2234936
29-May-14,161.14,162.00,159.62,160.74,1779171
28-May-14,160.91,161.61,159.78,161.19,1859886
27-May-14,161.12,163.43,160.58,161.77,3256763
23-May-14,159.91,160.48,159.51,160.16,1214453
22-May-14,158.95,160.30,158.65,159.85,1645058
21-May-14,157.16,159.75,157.13,159.35,4226325
20-May-14,157.48,157.91,155.61,156.35,2034911
19-May-14,156.25,157.99,156.01,157.67,1618048
16-May-14,155.61,156.97,154.84,156.43,2846085
15-May-14,158.69,158.96,155.92,156.64,2769269
14-May-14,160.20,160.89,159.28,159.45,2136155
13-May-14,159.56,160.90,159.13,160.28,1901488
12-May-14,157.91,159.95,157.91,159.55,2256120
9-May-14,157.57,157.90,155.68,157.20,2637013
8-May-14,155.76,158.22,155.20,157.40,2719646
7-May-14,155.41,156.31,153.71,155.52,3261095
6-May-14,155.85,155.85,154.18,154.54,3073107
5-May-14,156.50,156.90,154.52,156.35,3016295
2-May-14,160.46,161.84,158.57,158.88,2562493
1-May-14,159.80,161.00,159.70,160.37,2079547
30-Apr-14,158.38,160.36,158.19,159.82,2745673
29-Apr-14,157.03,158.38,156.64,158.24,2160500
28-Apr-14,158.60,158.83,154.00,156.54,3897822
25-Apr-14,160.48,160.77,157.91,158.24,3302143
24-Apr-14,161.04,162.11,160.59,160.85,2934201
23-Apr-14,160.26,160.94,159.28,160.45,2040561
22-Apr-14,157.64,160.81,157.27,160.46,4547285
21-Apr-14,157.50,158.27,156.23,157.80,4551711
17-Apr-14,161.03,161.44,157.35,157.44,4526106
16-Apr-14,156.34,157.29,155.12,157.22,3196346
15-Apr-14,155.00,156.02,153.10,154.92,3639593
14-Apr-14,154.80,155.13,153.42,154.74,3053683
11-Apr-14,154.45,154.49,151.65,152.72,6461662
10-Apr-14,158.41,158.88,155.81,155.98,4806565
9-Apr-14,157.11,159.00,156.42,158.16,4009981
8-Apr-14,158.70,158.76,155.48,156.56,6844255
7-Apr-14,162.95,163.20,158.44,158.56,4650839
4-Apr-14,167.01,167.04,162.85,163.24,3267440
3-Apr-14,167.31,167.67,165.00,166.09,2337292
2-Apr-14,165.90,167.54,165.72,167.27,2407551
1-Apr-14,164.76,166.29,164.22,165.92,3325853
31-Mar-14,163.22,164.14,162.22,163.85,2494292
28-Mar-14,162.21,164.19,161.29,162.30,2630486
27-Mar-14,161.80,163.31,160.77,162.29,3890239
26-Mar-14,164.74,165.00,161.72,161.73,2597634
25-Mar-14,166.59,167.42,162.80,163.25,4437493
